[ 2017-02-25T12:38:05+08:00 ] / | ERR: (ThinkException) Unknown database 'jieqiang_ctw'
[ 2017-02-25T12:38:07+08:00 ] / | ERR: (ThinkException) Unknown database 'jieqiang_ctw'
[ 2017-02-25T12:38:08+08:00 ] / | ERR: (ThinkException) Unknown database 'jieqiang_ctw'
[ 2017-02-25T12:38:09+08:00 ] / | ERR: (ThinkException) Unknown database 'jieqiang_ctw'
[ 2017-02-25T12:38:09+08:00 ] / | ERR: (ThinkException) Unknown database 'jieqiang_ctw'
[ 2017-02-25T12:38:10+08:00 ] / | ERR: (ThinkException) Unknown database 'jieqiang_ctw'
[ 2017-02-25T12:38:11+08:00 ] / | ERR: (ThinkException) Unknown database 'jieqiang_ctw'
[ 2017-02-25T12:38:12+08:00 ] / | ERR: (ThinkException) Unknown database 'jieqiang_ctw'
[ 2017-02-25T12:38:13+08:00 ] / | ERR: (ThinkException) Unknown database 'jieqiang_ctw'
[ 2017-02-25T12:38:13+08:00 ] / | ERR: (ThinkException) Unknown database 'jieqiang_ctw'
[ 2017-02-25T12:38:14+08:00 ] / | ERR: (ThinkException) Unknown database 'jieqiang_ctw'
[ 2017-02-25T12:38:15+08:00 ] / | ERR: (ThinkException) Unknown database 'jieqiang_ctw'
[ 2017-02-25T12:38:15+08:00 ] / | ERR: (ThinkException) Unknown database 'jieqiang_ctw'
[ 2017-02-25T12:38:16+08:00 ] / | ERR: (ThinkException) Unknown database 'jieqiang_ctw'
[ 2017-02-25T12:41:28+08:00 ] / | INFO: Tag[ app_begin ] --START--
[ 2017-02-25T12:41:28+08:00 ] / | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000000s ]
[ 2017-02-25T12:41:28+08:00 ] / | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000000s ]
[ 2017-02-25T12:41:28+08:00 ] / | SQL: SHOW COLUMNS FROM `ctw_setting` [ RunTime:0.020001s ]
[ 2017-02-25T12:41:28+08:00 ] / | SQL: SHOW COLUMNS FROM `ctw_like_list` [ RunTime:0.006000s ]
[ 2017-02-25T12:41:28+08:00 ] / | SQL: SHOW COLUMNS FROM `ctw_user` [ RunTime:0.005000s ]
[ 2017-02-25T12:41:28+08:00 ] / | SQL: SHOW COLUMNS FROM `ctw_user_info` [ RunTime:0.005001s ]
[ 2017-02-25T12:41:28+08:00 ] / | SQL: SHOW COLUMNS FROM `ctw_items` [ RunTime:0.004000s ]
[ 2017-02-25T12:41:28+08:00 ] / | SQL: SHOW COLUMNS FROM `ctw_items_cate` [ RunTime:0.005000s ]
[ 2017-02-25T12:41:28+08:00 ] / | SQL: SHOW COLUMNS FROM `ctw_items_comments` [ RunTime:0.004001s ]
[ 2017-02-25T12:41:28+08:00 ] / | SQL: SHOW COLUMNS FROM `ctw_user_openid` [ RunTime:0.004000s ]
[ 2017-02-25T12:41:28+08:00 ] / | SQL: SHOW COLUMNS FROM `ctw_user_follow` [ RunTime:0.005000s ]
[ 2017-02-25T12:41:28+08:00 ] / | SQL: SHOW COLUMNS FROM `ctw_user_comments` [ RunTime:0.005001s ]
[ 2017-02-25T12:41:28+08:00 ] / | SQL: SHOW COLUMNS FROM `ctw_seo` [ RunTime:0.006000s ]
[ 2017-02-25T12:41:28+08:00 ] / | SQL: SHOW COLUMNS FROM `ctw_article` [ RunTime:0.005000s ]
[ 2017-02-25T12:41:28+08:00 ] / | SQL: SHOW COLUMNS FROM `ctw_setting` [ RunTime:0.005000s ]
[ 2017-02-25T12:41:28+08:00 ] / | SQL: SELECT * FROM `ctw_setting`  [ RunTime:0.001000s ]
[ 2017-02-25T12:41:28+08:00 ] / | NOTIC: [8] Undefined index: ban_spider baseAction.class.php ç¬¬ 57 è¡Œ.
[ 2017-02-25T12:41:28+08:00 ] / | SQL: SELECT `id`,`title`,`url` FROM `ctw_article` WHERE cate_id=1 and status=1 ORDER BY ordid  [ RunTime:0.012001s ]
[ 2017-02-25T12:41:28+08:00 ] / | SQL: SHOW COLUMNS FROM `ctw_nav` [ RunTime:0.005000s ]
[ 2017-02-25T12:41:28+08:00 ] / | SQL: SELECT * FROM `ctw_nav` WHERE is_show=1 AND type=1 ORDER BY sort_order ASC  [ RunTime:0.004001s ]
[ 2017-02-25T12:41:28+08:00 ] / | SQL: SHOW COLUMNS FROM `ctw_flink` [ RunTime:0.005000s ]
[ 2017-02-25T12:41:28+08:00 ] / | SQL: SELECT * FROM `ctw_flink` WHERE status=1 and cate_id=1 ORDER BY ordid asc  [ RunTime:0.001000s ]
[ 2017-02-25T12:41:28+08:00 ] / | SQL: SELECT * FROM `ctw_flink` WHERE status=1 and cate_id=2 ORDER BY ordid asc  [ RunTime:0.001000s ]
[ 2017-02-25T12:41:28+08:00 ] / | NOTIC: [8] Undefined index: user baseAction.class.php ç¬¬ 148 è¡Œ.
[ 2017-02-25T12:41:28+08:00 ] / | SQL: SELECT * FROM `ctw_user` WHERE id= LIMIT 1   [ RunTime:0.001000s ]
[ 2017-02-25T12:41:28+08:00 ] / | NOTIC: [8] Undefined index: user baseAction.class.php ç¬¬ 170 è¡Œ.
[ 2017-02-25T12:41:28+08:00 ] / | SQL: SELECT COUNT(*) AS tp_count FROM `ctw_user_follow` WHERE fans_id= and uid= LIMIT 1   [ RunTime:0.005001s ]
[ 2017-02-25T12:41:28+08:00 ] / | NOTIC: [8] Undefined index: user baseAction.class.php ç¬¬ 175 è¡Œ.
[ 2017-02-25T12:41:28+08:00 ] / | SQL: SHOW COLUMNS FROM `ctw_items_cate` [ RunTime:0.004000s ]
[ 2017-02-25T12:41:28+08:00 ] / | SQL: SELECT * FROM `ctw_items_cate` ORDER BY ordid ASC  [ RunTime:0.007000s ]
[ 2017-02-25T12:41:28+08:00 ] / | NOTIC: [8] Undefined index: user baseAction.class.php ç¬¬ 397 è¡Œ.
[ 2017-02-25T12:41:28+08:00 ] / | NOTIC: [8] Use of undefined constant __TMPL__ - assumed '__TMPL__' baseAction.class.php ç¬¬ 401 è¡Œ.
[ 2017-02-25T12:41:28+08:00 ] / | SQL: SELECT * FROM `ctw_seo`  [ RunTime:0.001000s ]
[ 2017-02-25T12:41:28+08:00 ] / | SQL: SHOW COLUMNS FROM `ctw_focus` [ RunTime:0.005000s ]
[ 2017-02-25T12:41:28+08:00 ] / | SQL: SELECT * FROM `ctw_focus` WHERE cate_id=1 AND status=1 ORDER BY ordid DESC  [ RunTime:0.001000s ]
[ 2017-02-25T12:41:28+08:00 ] / | SQL: SELECT * FROM `ctw_like_list` ORDER BY add_time DESC LIMIT 28   [ RunTime:0.000000s ]
