[ 2017-03-27T11:49:04+08:00 ] / | ERR: (ThinkException) Access denied for user 'root'@'localhost' (using password: YES)
[ 2017-03-27T11:49:05+08:00 ] / | ERR: (ThinkException) Access denied for user 'root'@'localhost' (using password: YES)
[ 2017-03-27T11:49:05+08:00 ] / | ERR: (ThinkException) Access denied for user 'root'@'localhost' (using password: YES)
[ 2017-03-27T11:50:14+08:00 ] / | ERR: (ThinkException) Unknown database '_ctw'
[ 2017-03-27T11:50:15+08:00 ] / | ERR: (ThinkException) Unknown database '_ctw'
[ 2017-03-27T11:50:16+08:00 ] / | ERR: (ThinkException) Unknown database '_ctw'
[ 2017-03-27T11:50:16+08:00 ] / | ERR: (ThinkException) Unknown database '_ctw'
[ 2017-03-27T11:50:17+08:00 ] / | ERR: (ThinkException) Unknown database '_ctw'
[ 2017-03-27T11:50:24+08:00 ] / | INFO: Tag[ app_begin ] --START--
[ 2017-03-27T11:50:24+08:00 ] / | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000396s ]
[ 2017-03-27T11:50:24+08:00 ] / | INFO: Tag[ app_begin ] --END-- [ RunTime:0.000509s ]
[ 2017-03-27T11:50:24+08:00 ] / | SQL: SHOW COLUMNS FROM `ctw_setting` [ RunTime:0.000586s ]
[ 2017-03-27T11:50:24+08:00 ] / | SQL: SHOW COLUMNS FROM `ctw_like_list` [ RunTime:0.000455s ]
[ 2017-03-27T11:50:24+08:00 ] / | SQL: SHOW COLUMNS FROM `ctw_user` [ RunTime:0.000599s ]
[ 2017-03-27T11:50:24+08:00 ] / | SQL: SHOW COLUMNS FROM `ctw_user_info` [ RunTime:0.000761s ]
[ 2017-03-27T11:50:25+08:00 ] / | SQL: SHOW COLUMNS FROM `ctw_items` [ RunTime:0.000925s ]
[ 2017-03-27T11:50:25+08:00 ] / | SQL: SHOW COLUMNS FROM `ctw_items_cate` [ RunTime:0.000684s ]
[ 2017-03-27T11:50:25+08:00 ] / | SQL: SHOW COLUMNS FROM `ctw_items_comments` [ RunTime:0.000482s ]
[ 2017-03-27T11:50:25+08:00 ] / | SQL: SHOW COLUMNS FROM `ctw_user_openid` [ RunTime:0.000464s ]
[ 2017-03-27T11:50:25+08:00 ] / | SQL: SHOW COLUMNS FROM `ctw_user_follow` [ RunTime:0.000430s ]
[ 2017-03-27T11:50:25+08:00 ] / | SQL: SHOW COLUMNS FROM `ctw_user_comments` [ RunTime:0.000470s ]
[ 2017-03-27T11:50:25+08:00 ] / | SQL: SHOW COLUMNS FROM `ctw_seo` [ RunTime:0.000436s ]
[ 2017-03-27T11:50:25+08:00 ] / | SQL: SHOW COLUMNS FROM `ctw_article` [ RunTime:0.000654s ]
